Time (s), Voltage (V)
-1.942500000000000129e-02,2.901033382183005813e-02
-1.941249999999999920e-02,2.900714837255600337e-02
-1.940000000000000058e-02,2.900568847085948851e-02
-1.938749999999999848e-02,2.900318662483806001e-02
-1.937499999999999986e-02,2.899989001789339549e-02
-1.936250000000000124e-02,2.899699555595767683e-02
-1.934999999999999915e-02,2.899386249518619632e-02
-1.933750000000000052e-02,2.899079542458436395e-02
-1.932499999999999843e-02,2.898900424471619747e-02
-1.931249999999999981e-02,2.898584662846215299e-02
-1.930000000000000118e-02,2.898373074361764584e-02
-1.928749999999999909e-02,2.898078442320269066e-02
-1.927500000000000047e-02,2.897831560850699234e-02
-1.926249999999999837e-02,2.897494906339839055e-02
-1.924999999999999975e-02,2.897037999048620444e-02
-1.923750000000000113e-02,2.896643091802703074e-02
-1.922499999999999903e-02,2.896174426600773427e-02
-1.921250000000000041e-02,2.895770570114782755e-02
-1.919999999999999832e-02,2.895506644997565895e-02
-1.918749999999999969e-02,2.895156133774208843e-02
-1.917500000000000107e-02,2.894920790278320347e-02
-1.916249999999999898e-02,2.894558409023931592e-02
-1.915000000000000036e-02,2.894308279009661852e-02
-1.913750000000000173e-02,2.893956485537555953e-02
-1.912499999999999964e-02,2.893603565426114410e-02
-1.911250000000000102e-02,2.893309102584374834e-02
-1.909999999999999892e-02,2.892881172846441945e-02
-1.908750000000000030e-02,2.892385481890813459e-02
-1.907500000000000168e-02,2.892004669641385500e-02
-1.906249999999999958e-02,2.891524110172315198e-02
-1.905000000000000096e-02,2.890975561847325404e-02
-1.903749999999999887e-02,2.890547757820053840e-02
-1.902500000000000024e-02,2.890099320256349011e-02
-1.901250000000000162e-02,2.889554461709156752e-02
-1.899999999999999953e-02,2.888966429137637335e-02
-1.898750000000000090e-02,2.888507498697536272e-02
-1.897499999999999881e-02,2.888064290017838126e-02
-1.896250000000000019e-02,2.887607120886034884e-02
-1.895000000000000157e-02,2.887167485560206831e-02
-1.893749999999999947e-02,2.886804847221852502e-02
-1.892500000000000085e-02,2.886393725339136268e-02
-1.891249999999999876e-02,2.885978274026536339e-02
-1.890000000000000013e-02,2.885521682484258610e-02
-1.888750000000000151e-02,2.885160866610739228e-02
-1.887499999999999942e-02,2.884787684658713519e-02
-1.886250000000000079e-02,2.884294347550285173e-02
-1.884999999999999870e-02,2.883862310584555527e-02
-1.883750000000000008e-02,2.883685660377302562e-02
-1.882500000000000145e-02,2.883370447122189650e-02
-1.881249999999999936e-02,2.883092534825195535e-02
-1.880000000000000074e-02,2.882787023035573645e-02
-1.878749999999999865e-02,2.882635367052426359e-02
-1.877500000000000002e-02,2.882483434732328528e-02
-1.876250000000000140e-02,2.882239182767391134e-02
-1.874999999999999931e-02,2.881999866361583187e-02
-1.873750000000000068e-02,2.881863093388243799e-02
-1.872499999999999859e-02,2.881785451992062083e-02
-1.871249999999999997e-02,2.881695475095644166e-02
-1.870000000000000134e-02,2.881484188996297907e-02
-1.868749999999999925e-02,2.881298154884540455e-02
-1.867500000000000063e-02,2.881283933950883405e-02
-1.866249999999999853e-02,2.881298518879194318e-02
-1.864999999999999991e-02,2.881282542752894651e-02
-1.863750000000000129e-02,2.881170158327426428e-02
-1.862499999999999920e-02,2.881191007497283657e-02
-1.861250000000000057e-02,2.881167900065631504e-02
-1.859999999999999848e-02,2.881052651702135231e-02
-1.858749999999999986e-02,2.881160310312749079e-02
-1.857500000000000123e-02,2.881217973679982627e-02
