Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
5d3/2,13p3/2,1435.3187,0.0105,1435.32(1),0.1645495,0.0025411,0.1645(25),,,,
5d3/2,4f5/2,9161.0158,0.1187,9161.0(1),25.379385,0.081241,25.379(81),,,,
5d3/2,5f5/2,2795.4426,0.0111,2795.44(1),9.5637429,0.5055749,9.56(51),,,,
5d3/2,6f5/2,2029.4506,0.0058,2029.451(6),5.1418791,0.1140415,5.14(11),,,,
5d3/2,7f5/2,1741.798,0.0043,1741.798(4),3.3823424,0.0427455,3.382(43),,,,
5d3/2,8f5/2,1595.1291,0.0036,1595.129(4),2.4722227,0.0200068,2.472(20),,,,
5d3/2,9f5/2,1508.0968,0.0455,1508.10(5)*,1.9135803,0.0766503,1.914(77),,,,
5d3/2,10f5/2,1451.4812,0.0212,1451.48(2)*,1.5548577,0.0583019,1.555(58),,,,
5d3/2,11f5/2,1412.261,0.02,1412.26(2)*,1.3002034,0.0464245,1.300(46),,,,
5d5/2,5p3/2,775.9786,0.0006,775.9786(6),1.9840992,0.1028062,1.98(10),,,,
5d5/2,6p3/2,5233.117,0.0387,5233.12(4),24.489442,0.1675631,24.49(17),,,,
5d5/2,7p3/2,4615.5011,0.0301,4615.50(3),14.004618,0.555311,14.00(56),,,,
5d5/2,8p3/2,2409.469,0.0082,2409.469(8),3.2543468,0.0426183,3.254(43),,,,
5d5/2,9p3/2,1898.725,0.0051,1898.725(5),1.6684756,0.0242025,1.668(24),,,,
5d5/2,10p3/2,1678.5108,0.004,1678.511(4),1.0827889,0.015963,1.083(16),,,,
5d5/2,11p3/2,1558.8411,0.0034,1558.841(3),0.7867199,0.0116364,0.787(12),,,,
5d5/2,12p3/2,1485.1025,0.0112,1485.10(1),0.6104029,0.0090204,0.6104(90),,,,
5d5/2,13p3/2,1435.9291,0.0105,1435.93(1),0.4943404,0.0073003,0.4943(73),,,,
5d5/2,4f5/2,9185.9418,0.1193,9185.9(1),6.7842433,0.0205058,6.784(21),,,,
5d5/2,4f7/2,9186.1612,0.1193,9186.2(1),30.339771,0.091708,30.340(92),,,,
5d5/2,5f5/2,2797.7592,0.0111,2797.76(1),2.5616152,0.1307256,2.56(13),,,,
5d5/2,5f7/2,2797.7741,0.0111,2797.77(1),11.456406,0.584506,11.46(58),,,,
5d5/2,6f5/2,2030.6713,0.0058,2030.671(6),1.3771468,0.0296514,1.377(30),,,,
5d5/2,6f7/2,2030.6779,0.0058,2030.678(6),6.1590486,0.1325739,6.16(13),,,,
5d5/2,7f5/2,1742.6971,0.0043,1742.697(4),0.9057576,0.0111773,0.906(11),,,,
5d5/2,7f7/2,1742.7007,0.0043,1742.701(4),4.0508335,0.0499722,4.051(50),,,,
5d5/2,8f5/2,1595.8831,0.0036,1595.883(4),0.6619688,0.0052665,0.6620(53),,,,
5d5/2,8f7/2,1595.8844,0.0036,1595.884(4),2.9604934,0.0235096,2.960(24),,,,
5d5/2,9f5/2,1508.7708,0.0456,1508.77(5)*,0.5123735,0.0197236,0.512(20),,,,
5d5/2,9f7/2,1508.7731,0.0456,1508.77(5)*,2.291495,0.0882063,2.291(88),,,,
5d5/2,10f5/2,1452.1055,0.0212,1452.11(2)*,0.416279,0.0149937,0.416(15),,,,
5d5/2,10f7/2,1452.1076,0.0212,1452.11(2)*,1.8617278,0.0670529,1.862(67),,,,
5d5/2,11f5/2,1412.852,0.0201,1412.85(2)*,0.348075,0.011934,0.348(12),,,,
5d5/2,11f7/2,1412.852,0.0201,1412.85(2)*,1.5566972,0.0533694,1.557(53),,,,
6d3/2,5p1/2,620.8027,0.0004,620.8027(4),1.0673526,0.0371636,1.067(37),,,,
6d3/2,5p3/2,630.0966,0.0004,630.0966(4),0.5063922,0.0166924,0.506(17),,,,
6d3/2,6p1/2,2011.2445,0.0057,2011.244(6),1.604787,0.0824784,1.605(82),,,,
6d3/2,6p3/2,2043.0946,0.0059,2043.095(6),0.8330571,0.037245,0.833(37),,,,
6d3/2,7p1/2,11735.6154,0.1948,11735.6(2),31.41796,0.047174,31.418(47),,,,
6d3/2,7p3/2,12239.6474,0.2119,12239.6(2),14.16669,0.020949,14.167(21),,,,
6d3/2,8p1/2,8712.2205,0.1073,8712.2(1),17.885342,0.525372,17.89(53),,,,
6d3/2,8p3/2,8571.4555,0.1039,8571.5(1),7.7796557,0.2323903,7.78(23),,,,
6d3/2,9p1/2,4401.8289,0.0274,4401.83(3),4.1993504,0.0554617,4.199(55),,,,
6d3/2,9p3/2,4380.0806,0.0271,4380.08(3),1.8674174,0.023416,1.867(23),,,,
